id,title,duration,genres,year,countries,press rating,spectator rating,actors,directors,poster
258080,Hunger Games: la Ballade du serpent et de l'oiseau chanteur,158,"[13025, 13001, 13021]",2023,['U.S.A.'],3.1,3.7,"[438903, 862708, 80927, 30279, 862149, 865035, 46797, 3081, 767882, 830137, 870525, 894883, 105050, 857283, 480057, 967804, 875655, 967803, 954813, 969004, 916226, 926498, 967222, 967221, 949436, 923701, 968341, 955727, 800852, 829919, 836404, 747725, 969005, 974912, 606094, 974914, 974915, 974916, 126599, 609992, 963241, 178113, 974918, 144004, 965628, 996700]",[82673],https://fr.web.img6.acsta.net/pictures/23/09/20/16/33/4604785.jpg
1000001702,Les Graines du figuier sauvage,167,[13008],2024,"['Iran', 'France', 'Allemagne']",4.4,4.4,"[424712, 1000002009, 1000009012, 702727, 941645, 809850, 1000009013, 894050]",[126920],https://fr.web.img4.acsta.net/img/38/1e/381e47f91ac66b215d8140e10f0eac44.jpg
1832,Les Temps modernes,87,"[13005, 13002, 13008, 13024]",1936,['U.S.A.'],4.7,4.5,"[4952, 4953, 154995, 4954, 28603, 161680, 4955, 103402, 134859, 398606, 45352, 397434, 405983, 398171, 5711, 398605, 879169, 256970]",[5711],https://fr.web.img2.acsta.net/pictures/19/06/24/15/20/3404746.jpg
178627,Le cochon danseur,4,[13017],2017,[],,2.4,[],[],https://fr.web.img6.acsta.net/c_310_420/commons/v9/common/empty/empty_portrait.png
1165,Tchao Pantin,100,"[13018, 13008]",1983,['France'],,4.1,"[3435, 1854, 3436, 482, 3752, 23853, 6780, 94850, 69148, 94851, 94852]",[3434],https://fr.web.img3.acsta.net/pictures/16/12/02/16/05/423695.jpg
73176,Princesse Mononoké,135,"[13001, 13026, 13012]",2000,['Japon'],4.9,4.4,"[18078, 14092, 1194, 623106, 12444, 118858, 15956, 27198, 3427, 55445, 75162, 153969, 46655, 162289, 67673, 9948, 67521, 79674, 255807, 541735, 16072, 541736, 218508, 87087, 44555, 65113, 541739]",[18793],https://fr.web.img2.acsta.net/pictures/21/02/09/12/46/1884055.jpg
80041,Une belle fille comme moi,100,"[13002, 13018]",1972,['France'],,3.6,"[105, 3709, 328, 482, 1532, 11235, 65940, 4116, 92, 512, 137923, 65174, 2823, 914866, 37480, 35968, 150554, 149175, 150553]",[629],https://fr.web.img6.acsta.net/medias/nmedia/18/62/93/75/18660216.jpg
309868,Nickel Boys,140,[13008],2025,['U.S.A.'],3.4,3.0,"[705822, 421442, 104816, 859646, 764982, 38762, 905504, 660567, 840435, 583533, 678995, 434904, 784337, 602351, 666890, 862920, 1000022021]",[826730],https://fr.web.img4.acsta.net/img/15/98/15980a3fc0d62ad80e9f645db1fc044b.jpg
3225,En cas de Malheur,105,"[13008, 13031, 13024]",1958,"['France', 'Italie']",,3.7,"[222, 67548, 211, 7166, 10824, 5822, 4927, 3173, 3634, 85250, 142230, 137218, 130392, 7087, 4504, 70660]",[4034],https://fr.web.img5.acsta.net/medias/nmedia/18/76/36/88/19284631.jpg
208104,Tu ne tueras point,140,"[13027, 13008, 13014]",2016,"['Australie', 'U.S.A.']",3.0,4.4,"[179331, 18923, 129990, 41339, 525100, 20175, 12217, 406211, 150348, 212921, 23923, 229450, 559199, 98257, 72966, 683387, 212367, 82216, 804416, 530132, 786655, 728555]",[2098],https://fr.web.img3.acsta.net/pictures/16/09/02/19/16/302469.jpg
6000,Non ou la Vaine Gloire de commander,112,"[13001, 13008, 13015]",1990,"['Portugal', 'Espagne', 'France']",,3.6,"[94325, 3672, 7003, 13257, 10718, 211100, 81094, 42108, 146185, 264996, 13258, 3673, 13259, 1333, 197583, 255051, 2158]",[2158],https://fr.web.img4.acsta.net/pictures/14/09/18/14/53/301974.jpg
302474,"Flow, le chat qui n’avait plus peur de l’eau",85,"[13001, 13026, 13036, 13012]",2024,"['Lettonie', 'France', 'Belgique']",4.3,4.3,[],[871388],https://fr.web.img5.acsta.net/img/92/43/9243bd393aef7fc82dab92ca5bef16e5.jpg
55483,Memories of Murder,130,"[13025, 13018, 13008]",2004,['Cor\\u00e9e du Sud'],4.4,4.3,"[68739, 94668, 134283, 435590, 97332, 239519, 92919, 435677, 479286, 134508, 239518, 175387, 474159, 464527]",[95119],https://fr.web.img2.acsta.net/pictures/17/04/14/09/41/477957.jpg
109860,La Cage Dorée,91,[13005],2013,"['Portugal', 'France']",3.5,3.9,"[15683, 6448, 2026, 17765, 82577, 154504, 424174, 88519, 36326, 237704, 634990, 565767, 155726, 168106, 178772, 136323, 95758, 612577, 414092, 580786, 580796, 580797, 634991, 634992, 90453, 649387, 463025, 252067]",[90453],https://fr.web.img6.acsta.net/medias/nmedia/18/95/50/99/20504068.jpg
297405,Borgo,118,[13008],2024,['France'],3.9,3.9,"[135371, 221330, 968042, 78818, 533908, 44058, 519650, 874584, 776295, 55636, 1022994, 1022995, 983719, 1022996, 1022998, 436897, 459140, 1023000, 1023001, 1023002, 1023003, 1023004, 1023005, 1023006, 639760, 1023007, 1023008, 1023009, 1023010, 1023011, 1023012, 1023013, 1005871, 1023014, 1023015, 1023021, 1023023, 1023024, 1000006749, 947973]",[504416],https://fr.web.img6.acsta.net/pictures/24/02/20/10/21/4148503.jpg
245813,Killers of the Flower Moon,206,"[13008, 13015, 13023]",2023,['U.S.A.'],4.4,4.1,"[12972, 698084, 8, 87400, 5293, 18216, 482165, 454664, 107254, 113841, 855758, 13992, 892352, 200329, 61895, 40054, 115540, 123206, 203286, 104905, 94145, 124292, 19686, 207902, 889863, 928291, 928292, 1007839, 1007840, 1007842, 1007862, 433883, 445787, 881092, 949876]",[852],https://fr.web.img6.acsta.net/pictures/23/08/31/10/37/3301375.jpg
3,Fanfan la Tulipe,100,[13001],1952,"['France', 'Italie']",,3.2,"[15, 16, 669, 6858, 5580, 7184, 25202, 30930, 7115, 17, 66795, 84887]",[14],https://fr.web.img6.acsta.net/medias/nmedia/00/02/55/87/affiche.jpg
772,La Belle et la bête,96,"[13008, 13012, 13024]",1946,"['Luxembourg', 'France']",5.0,4.1,"[2435, 212, 2436, 2437, 2438, 2439, 7484, 684, 210, 591141, 591142, 591136, 591137, 86999, 591138, 591139, 591140]",[210],https://fr.web.img3.acsta.net/pictures/210/201/21020192_2013092716451197.jpg
305776,Miséricorde,103,"[13005, 13018]",2024,"['France', 'Espagne', 'Portugal']",4.0,3.4,"[623826, 2374, 893658, 425569, 100430, 858278, 654114, 1000010940, 1000010939, 1000010938, 151805, 656075]",[22580],https://fr.web.img3.acsta.net/img/d3/b6/d3b65b4f3273289903da13947bc72cfe.jpg
