id,title,duration,genres,year,countries,press rating,spectator rating,actors,directors,poster
2596,Gandhi,190,"[13027, 13008, 13015]",1983,"['Grande-Bretagne', 'Inde']",3.4,4.1,"[6556, 70, 373, 733, 2615, 661, 731, 573, 809, 15405, 22022, 5501, 2018, 3079, 11790, 24117, 9431, 27635, 2017, 10825, 13046, 39143, 67318, 196549, 188102, 78543, 197750, 424299, 195507, 424300, 438247]",[6555],https://fr.web.img2.acsta.net/medias/nmedia/18/65/20/00/18836165.jpg
150,Les Chariots de feu,119,"[13008, 13015]",1981,"['Grande-Bretagne', 'U.S.A.']",,3.8,"[574, 263, 661, 80, 1137, 522, 1792, 572, 573, 16894, 588, 6679, 4777, 879, 22022, 575]",[571],https://fr.web.img4.acsta.net/pictures/23/10/17/15/15/1204117.jpg
14604,Des gens comme les autres,124,[13008],1981,['U.S.A.'],,3.8,"[561, 24016, 16391, 10008, 2386, 47819, 11005, 41908, 68524, 8035, 37987, 198451, 99644, 586398, 586399, 586401, 586402, 257603, 586403, 586404]",[795],https://fr.web.img6.acsta.net/pictures/210/541/21054164_20131030172844559.jpg
1237,Kramer contre Kramer,105,[13008],1980,['U.S.A.'],,4.1,"[577, 9, 3606, 4292, 7161, 91604, 49850, 112140, 3242, 50916, 54461, 417824, 417823]",[3605],https://fr.web.img4.acsta.net/medias/nmedia/18/62/87/37/19151171.jpg
29714,Voyage au bout de l'enfer,184,"[13008, 13014]",1979,"['Grande-Bretagne', 'U.S.A.']",4.7,4.4,"[8, 1969, 9, 763, 4452, 112223, 4043, 21802, 226419, 113412, 11464, 699987, 12717, 53199, 65432, 168620, 112446, 471018, 531859, 531861, 531863, 531866, 531867, 531869, 53037, 559924, 513294, 475384, 531864, 531865]",[2698],https://fr.web.img6.acsta.net/pictures/18/07/11/14/11/3748550.jpg
88,Annie Hall,93,"[13002, 13024]",1977,['U.S.A.'],4.6,4.0,"[358, 359, 360, 1969, 46320, 2660, 4681, 31273, 84416, 765, 259, 3439, 65874, 357, 463239, 464489]",[357],https://fr.web.img6.acsta.net/pictures/18/01/08/10/49/4614249.jpg
42744,Rocky V,104,"[13025, 13008]",1990,['U.S.A.'],,2.4,"[5311, 14174, 5181, 36515, 2999, 12220, 110934, 123675, 15634, 23915, 55575, 78587, 188857, 220806, 19708, 216783, 98645, 136718, 180077, 505688, 149484, 162049, 452176]",[14260],https://fr.web.img6.acsta.net/pictures/14/08/25/16/19/557323.jpg
2072,Vol au-dessus d'un nid de coucou,129,[13008],1976,['U.S.A.'],5.0,4.6,"[34278, 5433, 5434, 2384, 22122, 1459, 237, 44586, 54986, 6, 6600, 53043, 42882, 90830, 157716, 163055, 180024, 449450, 45635, 76679, 79411, 82188, 502940, 418329, 435704, 218074, 449624, 473022, 471823, 465835, 466432, 467543, 482811]",[284],https://fr.web.img4.acsta.net/medias/nmedia/00/02/55/99/affiche.jpg
28201,"Le Parrain, 2e partie",200,"[13018, 13008]",1975,['U.S.A.'],4.7,4.5,"[1825, 8, 358, 54023, 85248, 47378, 9684, 98435, 47317, 10365, 3328, 7127, 41672, 62324, 103099, 108672, 155175, 224541, 409282, 432685, 432692, 432896, 432898, 432899, 432900, 432901, 432902, 432903, 452087, 455372, 453072, 482852, 478351, 464150, 463333, 464622, 469238, 374, 4452, 14174, 2013, 36497, 38472, 34439, 7225, 141068, 23275, 116710, 89316, 141058, 1246, 16564, 41954, 141069, 9405, 111803, 40481, 4466, 12552, 141062, 77153, 5951, 141070, 141071, 42994, 141072, 78283, 262, 107412, 22162, 1007, 141073, 141074, 48982, 9974]",[372],https://fr.web.img6.acsta.net/medias/nmedia/18/35/24/16/18861226.jpg
33353,L'Arnaque,129,"[13005, 13018]",1974,['U.S.A.'],3.6,4.2,"[118, 795, 1542, 2997, 5731, 14073, 30787, 464042, 472615, 40015, 52765, 39900, 48649, 4063, 266223, 39847, 53426, 65869, 84877, 112293, 117700, 131402, 140590, 140659, 156170, 197684, 468465, 463707, 82760, 433015, 440762]",[1789],https://fr.web.img6.acsta.net/pictures/14/03/17/11/45/460143.jpg
